x1	x2	x3	y1	y2	y3	z1	z2	z3	x1	x2	x3	y1	y2	y3	z1	z2
1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1
1	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1
1	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1
1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	0	1
1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0	1
1	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	1
1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0
1	0	0	1	0	1	1	0	1	1	0	0	1	0	1	1	0
1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	1
1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1
0	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	1
0	0	1	0	1	1	0	1	0	0	0	1	0	1	1	0	1
0	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	1
0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	0	1
0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	1
0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
