A	B	Carry_Out	Sum
0	128	0	128
0	144	0	144
0	208	0	208
0	240	0	240
0	248	0	248
0	252	0	252
0	253	0	253
0	249	0	249
128	249	1	121
192	249	1	185
208	249	1	201
216	249	1	209
217	249	1	210
221	249	1	214
223	249	1	216
159	249	1	152
223	249	1	216
255	249	1	248
239	249	1	232
231	249	1	224
229	249	1	222
228	249	1	221
224	249	1	217
232	249	1	225
248	249	1	241
184	249	1	177
56	249	1	49
24	249	1	17
16	249	1	9
18	249	1	11
18	233	0	251
18	201	0	219
18	73	0	91
18	9	0	27
18	25	0	43
18	27	0	45
18	31	0	49
18	63	0	81
18	191	0	209
18	255	1	17
146	255	1	145
210	255	1	209
194	255	1	193
202	255	1	201
206	255	1	205
204	255	1	203
