A	B	C_In	S	Final	C_out	V	LED(850,20)	LED(850,40)	LED(850,60)	LED(850,80)	7 segment(900,250).a	7 segment(900,250).b	7 segment(900,250).c	7 segment(900,250).d	7 segment(900,250).e	7 segment(900,250).f	7 segment(900,250).g
0000	0000	0	000	xxxx	x	x	0	0	0	0	E	E	E	E	E	E	E
0010	0000	0	000	xxxx	x	x	0	0	0	0	E	E	E	E	E	E	E
1010	0000	0	000	xxxx	x	x	0	0	0	0	E	E	E	E	E	E	E
1110	0000	0	000	xxxx	x	x	0	0	0	0	E	E	E	E	E	E	E
1111	0000	0	000	xxxx	x	x	0	0	0	0	E	E	E	E	E	E	E
1111	0000	1	000	xxxx	x	x	0	0	0	0	E	E	E	E	E	E	E
1111	0000	1	001	xxxx	x	x	1	1	1	1	E	E	E	E	E	E	E
1111	0000	1	011	xxxx	x	x	0	0	0	0	E	E	E	E	E	E	E
1111	0010	1	011	xxxx	x	x	0	1	0	0	E	E	E	E	E	E	E
1111	1010	1	011	xxxx	x	x	0	1	0	1	E	E	E	E	E	E	E
1111	1000	1	011	xxxx	x	x	0	0	0	1	E	E	E	E	E	E	E
1111	1001	1	011	xxxx	x	x	1	0	0	1	E	E	E	E	E	E	E
0111	1001	1	011	xxxx	x	x	1	0	0	0	E	E	E	E	E	E	E
0101	1001	1	011	xxxx	x	x	1	1	0	0	E	E	E	E	E	E	E
0100	1001	1	011	xxxx	x	x	0	1	0	0	E	E	E	E	E	E	E
0101	1001	1	011	xxxx	x	x	1	1	0	0	E	E	E	E	E	E	E
0101	1001	0	011	xxxx	x	x	1	1	0	0	E	E	E	E	E	E	E
0101	1101	0	011	xxxx	x	x	1	1	1	0	E	E	E	E	E	E	E
0111	1101	0	011	xxxx	x	x	1	0	1	0	E	E	E	E	E	E	E
0110	1101	0	011	xxxx	x	x	0	0	1	0	E	E	E	E	E	E	E
1110	1101	0	011	xxxx	x	x	0	0	1	1	E	E	E	E	E	E	E
1010	1101	0	011	xxxx	x	x	0	0	0	1	E	E	E	E	E	E	E
1010	1001	0	011	xxxx	x	x	0	0	1	1	E	E	E	E	E	E	E
1010	1000	0	011	xxxx	x	x	1	0	1	1	E	E	E	E	E	E	E
1010	1000	0	001	xxxx	x	x	0	1	0	1	E	E	E	E	E	E	E
1010	1000	0	101	0010	1	1	0	0	0	0	1	1	0	1	1	0	1
1010	1100	0	101	0110	1	1	0	0	0	0	1	0	1	1	1	1	1
1010	1110	0	101	1000	1	0	0	0	0	0	1	1	1	1	1	1	1
1000	1110	0	101	0110	1	1	0	0	0	0	1	0	1	1	1	1	1
1001	1110	0	101	0111	1	1	0	0	0	0	1	1	1	0	0	0	0
1011	1110	0	101	1001	1	0	0	0	0	0	1	1	1	1	0	1	1
0011	1110	0	101	0001	1	0	0	0	0	0	0	1	1	0	0	0	0
0001	1110	0	101	1111	0	0	0	0	0	0	1	1	1	1	0	1	1
0101	1110	0	101	0011	1	0	0	0	0	0	1	1	1	1	0	0	1
0111	1110	0	101	0101	1	0	0	0	0	0	1	0	1	1	0	1	1
0111	1010	0	101	0001	1	0	0	0	0	0	0	1	1	0	0	0	0
0111	0010	0	101	1001	0	1	0	0	0	0	1	1	1	1	0	1	1
0111	0000	0	101	0111	0	0	0	0	0	0	1	1	1	0	0	0	0
0111	0010	0	101	1001	0	1	0	0	0	0	1	1	1	1	0	1	1
0111	0000	0	101	0111	0	0	0	0	0	0	1	1	1	0	0	0	0
0111	0100	0	101	1011	0	1	0	0	0	0	1	1	1	1	0	1	1
0101	0100	0	101	1001	0	1	0	0	0	0	1	1	1	1	0	1	1
0111	0100	0	101	1011	0	1	0	0	0	0	1	1	1	1	0	1	1
1111	0100	0	101	0011	1	0	0	0	0	0	1	1	1	1	0	0	1
1011	0100	0	101	1111	0	0	0	0	0	0	1	1	1	1	0	1	1
1001	0100	0	101	1101	0	0	0	0	0	0	1	0	1	1	0	1	1
1000	0100	0	101	1100	0	0	0	0	0	0	1	1	1	1	0	1	1
0000	0100	0	101	0100	0	0	0	0	0	0	0	1	1	0	0	1	1
0000	0110	0	101	0110	0	0	0	0	0	0	1	0	1	1	1	1	1
0000	0010	0	101	0010	0	0	0	0	0	0	1	1	0	1	1	0	1
0000	0011	0	101	0011	0	0	0	0	0	0	1	1	1	1	0	0	1
0010	0011	0	101	0101	0	0	0	0	0	0	1	0	1	1	0	1	1
0110	0011	0	101	1001	0	1	0	0	0	0	1	1	1	1	0	1	1
0110	0011	1	101	0011	1	0	0	0	0	0	1	1	1	1	0	0	1
0110	0111	1	101	1111	0	0	0	0	0	0	1	1	1	1	0	1	1
0110	0011	1	101	0011	1	0	0	0	0	0	1	1	1	1	0	0	1
0010	0011	1	101	1111	0	0	0	0	0	0	1	1	1	1	0	1	1
0011	0011	1	101	0000	1	0	0	0	0	0	1	1	1	1	1	1	0
0111	0011	1	101	0100	1	0	0	0	0	0	0	1	1	0	0	1	1
1111	0011	1	101	1100	1	0	0	0	0	0	1	1	1	1	0	1	1
1111	0011	1	001	xxxx	x	x	1	1	1	1	E	E	E	E	E	E	E
1111	0111	1	001	xxxx	x	x	1	1	1	1	E	E	E	E	E	E	E
1111	0110	1	001	xxxx	x	x	1	1	1	1	E	E	E	E	E	E	E
1101	0110	1	001	xxxx	x	x	1	1	1	1	E	E	E	E	E	E	E
1001	0110	1	001	xxxx	x	x	1	1	1	1	E	E	E	E	E	E	E
1011	0110	1	001	xxxx	x	x	1	1	1	1	E	E	E	E	E	E	E
1011	0110	0	001	xxxx	x	x	1	1	1	1	E	E	E	E	E	E	E
1011	0100	0	001	xxxx	x	x	1	1	1	1	E	E	E	E	E	E	E
1011	0000	0	001	xxxx	x	x	1	1	0	1	E	E	E	E	E	E	E
1011	0000	0	011	xxxx	x	x	0	0	1	0	E	E	E	E	E	E	E
1011	0000	0	111	0101	0	0	0	0	0	0	1	0	1	1	0	1	1
1011	0010	0	111	0111	0	0	0	0	0	0	1	1	1	0	0	0	0
1011	0110	0	111	1011	0	1	0	0	0	0	1	1	1	1	0	1	1
1011	0100	0	111	1001	0	1	0	0	0	0	1	1	1	1	0	1	1
1001	0100	0	111	1011	0	1	0	0	0	0	1	1	1	1	0	1	1
1011	0100	0	111	1001	0	1	0	0	0	0	1	1	1	1	0	1	1
1011	0100	1	111	1111	0	0	0	0	0	0	1	1	1	1	0	1	1
1011	0110	1	111	0001	1	0	0	0	0	0	0	1	1	0	0	0	0
1111	0110	1	111	0101	1	0	0	0	0	0	1	0	1	1	0	1	1
1101	0110	1	111	0011	1	0	0	0	0	0	1	1	1	1	0	0	1
1101	0110	1	110	0011	1	0	0	0	0	0	1	1	1	1	0	0	1
1101	0100	1	110	0001	1	0	0	0	0	0	0	1	1	0	0	0	0
1111	0100	1	110	0011	1	0	0	0	0	0	1	1	1	1	0	0	1
1011	0100	1	110	1111	0	0	0	0	0	0	1	1	1	1	0	1	1
1011	0100	1	100	1100	0	0	0	0	0	0	1	1	1	1	0	1	1
1011	0101	1	100	1100	0	0	0	0	0	0	1	1	1	1	0	1	1
1011	0001	1	100	1100	0	0	0	0	0	0	1	1	1	1	0	1	1
