Clock(530,880)	7 seg(1210,130).a	7 seg(1210,130).b	7 seg(1210,130).c	7 seg(1210,130).d	7 seg(1210,130).e	7 seg(1210,130).f	7 seg(1210,130).g
1	1	1	1	1	1	1	0
0	1	1	1	1	1	1	0
1	1	1	1	1	0	0	1
0	1	1	1	1	0	0	1
1	0	1	1	0	0	1	1
0	0	1	1	0	0	1	1
1	1	0	1	1	0	1	1
0	1	0	1	1	0	1	1
1	0	1	1	0	0	0	0
0	0	1	1	0	0	0	0
1	1	1	0	1	1	0	1
0	1	1	0	1	1	0	1
1	1	1	1	1	0	0	1
0	1	1	1	1	0	0	1
1	0	1	1	0	0	1	1
0	0	1	1	0	0	1	1
1	1	0	1	1	0	1	1
0	1	0	1	1	0	1	1
1	0	1	1	0	0	0	0
0	0	1	1	0	0	0	0
1	1	1	0	1	1	0	1
0	1	1	0	1	1	0	1
1	1	1	1	1	0	0	1
0	1	1	1	1	0	0	1
1	0	1	1	0	0	1	1
0	0	1	1	0	0	1	1
1	1	0	1	1	0	1	1
0	1	0	1	1	0	1	1
1	0	1	1	0	0	0	0
0	0	1	1	0	0	0	0
1	1	1	0	1	1	0	1
0	1	1	0	1	1	0	1
1	1	1	1	1	0	0	1
0	1	1	1	1	0	0	1
1	0	1	1	0	0	1	1
0	0	1	1	0	0	1	1
1	1	0	1	1	0	1	1
0	1	0	1	1	0	1	1
1	0	1	1	0	0	0	0
0	0	1	1	0	0	0	0
